Wall time,Step,Value
1680384637.8618016,1,1771.2847900390625
1680386605.800237,2,1785.100341796875
1680388569.925926,3,1779.79541015625
1680390551.2998192,4,1796.079345703125
1680392537.692009,5,1802.4326171875
1680394529.2738268,6,1805.6053466796875
1680396505.6383379,7,1793.3311767578125
1680398479.4588814,8,1790.2115478515625
1680400454.873125,9,1791.777587890625
1680402442.8499687,10,1803.593994140625
1680404423.428807,11,1796.4625244140625
1680406406.4899714,12,1798.235107421875
1680408386.182697,13,1796.72607421875
1680410342.0054367,14,1776.66552734375
1680412272.1654396,15,1751.80908203125
1680414193.888462,16,1746.8343505859375
1680416114.0494125,17,1749.090576171875
1680418026.7775416,18,1742.7921142578125
1680419940.0265844,19,1745.2144775390625
1680421850.6511805,20,1742.7835693359375
1680423765.569076,21,1747.60693359375
1680425682.263463,22,1747.427978515625
1680427594.6851876,23,1744.7843017578125
1680429505.6627774,24,1743.37109375
1680431408.6440444,25,1734.256103515625
1680433307.135778,26,1730.962890625
1680435212.8289492,27,1736.02392578125
1680437116.651889,28,1736.5472412109375
1680439029.0069509,29,1745.11083984375
1680440926.8400211,30,1730.4051513671875
1680443821.984601,31,2726.365966796875
1680445722.3245096,32,1731.6343994140625
1680447643.9203477,33,1752.8343505859375
1680449561.9623797,34,1749.2042236328125
1680451468.185847,35,1737.8216552734375
1680453379.8028038,36,1742.123779296875
1680455286.0546913,37,1738.54052734375
1680457196.0201278,38,1742.15673828125
1680459110.9990182,39,1746.74267578125
1680461036.531228,40,1757.638671875
