Wall time,Step,Value
1680384637.8449943,1,1771.2847900390625
1680386605.7835233,2,3556.385009765625
1680388569.9157102,3,5336.1806640625
1680390551.2896786,4,7132.259765625
1680392537.6813512,5,8934.6923828125
1680394529.2559936,6,10740.2978515625
1680396505.6284308,7,12533.62890625
1680398479.4418662,8,14323.8408203125
1680400454.8565273,9,16115.6181640625
1680402442.8326638,10,17919.212890625
1680404423.4123745,11,19715.673828125
1680406406.4795585,12,21513.91015625
1680408386.1655533,13,23310.63671875
1680410341.995241,14,25087.30078125
1680412272.155467,15,26839.111328125
1680414193.871119,16,28585.9453125
1680416114.0389895,17,30335.03515625
1680418026.7607727,18,32077.828125
1680419940.016607,19,33823.04296875
1680421850.63423,20,35565.82421875
1680423765.5523007,21,37313.43359375
1680425682.2469351,22,39060.859375
1680427594.6686962,23,40805.64453125
1680429505.6458552,24,42549.015625
1680431408.6257956,25,44283.2734375
1680433307.1257272,26,46014.234375
1680435212.8105662,27,47750.2578125
1680437116.6290252,28,49486.8046875
1680439028.9847138,29,51231.91796875
1680440926.8165085,30,52962.3203125
1680443821.9662797,31,55688.6875
1680445722.3143654,32,57420.32421875
1680447643.9034734,33,59173.15625
1680449561.9462614,34,60922.359375
1680451468.1690423,35,62660.18359375
1680453379.7925572,36,64402.3046875
1680455286.0446823,37,66140.84375
1680457196.0099323,38,67883.0
1680459110.9887106,39,69629.75
1680461036.5140796,40,71387.3828125
