Wall time,Step,Value
1680069133.1786182,1,677.7210083007812
1680069813.5670872,2,668.8671264648438
1680070498.6699193,3,674.0030517578125
1680071182.7112913,4,672.93017578125
1680071873.2602468,5,679.433349609375
1680072563.1657362,6,678.7984008789062
1680073266.8526733,7,692.5719604492188
1680073959.250521,8,681.2899780273438
1680074654.5447066,9,684.1874389648438
1680075347.170507,10,681.5172119140625
1680076041.459959,11,683.1675415039062
1680076741.511235,12,688.9447021484375
1680077430.4804242,13,677.8505859375
1680078115.0151873,14,673.43212890625
1680078795.1006377,15,668.9706420898438
1680079503.71955,16,697.4990234375
1680080206.969396,17,692.1377563476562
1680080903.9443667,18,685.868896484375
1680081605.3232322,19,690.265625
1680082304.6516972,20,688.2266235351562
1680082993.4877098,21,677.7426147460938
1680083684.5493543,22,679.9642944335938
1680084399.7702413,23,704.1312255859375
1680085119.3185556,24,708.452880859375
1680085817.1089232,25,686.689208984375
1680086500.3297746,26,672.127197265625
1680087219.8622072,27,708.4400634765625
1680087932.2091117,28,701.2625732421875
1680088619.7427595,29,676.4285888671875
1680089305.0317357,30,674.195068359375
1680090006.6406825,31,690.5244140625
1680090695.051409,32,677.3189086914062
1680091415.116551,33,708.9564819335938
1680092147.9791973,34,721.7713012695312
1680092882.202137,35,723.0967407226562
1680093612.63062,36,719.2167358398438
1680094342.523784,37,718.7974243164062
1680095068.6655736,38,715.0512084960938
1680095787.4253979,39,707.6559448242188
1680096487.6899161,40,688.8599243164062
