Wall time,Step,Value
1680069133.1632643,1,677.7210083007812
1680069813.5572817,2,1346.588134765625
1680070498.6597674,3,2020.5911865234375
1680071182.6958408,4,2693.521240234375
1680071873.2505152,5,3372.95458984375
1680072563.1559796,6,4051.753173828125
1680073266.8370638,7,4744.3251953125
1680073959.240864,8,5425.615234375
1680074654.53481,9,6109.80224609375
1680075347.1548665,10,6791.31982421875
1680076041.450197,11,7474.4873046875
1680076741.5000348,12,8163.431640625
1680077430.4705787,13,8841.2822265625
1680078115.0053716,14,9514.71484375
1680078795.0885527,15,10183.685546875
1680079503.7023551,16,10881.1845703125
1680080206.9595664,17,11573.322265625
1680080903.9299,18,12259.1904296875
1680081605.3133366,19,12949.4560546875
1680082304.6418927,20,13637.6826171875
1680082993.4781072,21,14315.42578125
1680083684.5398908,22,14995.3896484375
1680084399.7597609,23,15699.521484375
1680085119.3088667,24,16407.974609375
1680085817.0988953,25,17094.6640625
1680086500.319994,26,17766.791015625
1680087219.8520339,27,18475.23046875
1680087932.1989813,28,19176.494140625
1680088619.7330606,29,19852.921875
1680089305.0219297,30,20527.1171875
1680090006.630514,31,21217.640625
1680090695.0413628,32,21894.9609375
1680091415.1057255,33,22603.916015625
1680092147.9685378,34,23325.6875
1680092882.1918736,35,24048.78515625
1680093612.6206393,36,24768.001953125
1680094342.5140996,37,25486.798828125
1680095068.655707,38,26201.849609375
1680095787.415575,39,26909.505859375
1680096487.680039,40,27598.365234375
