Step,convex,mask
1,0.1184,0.1023
2,0.141200006,0.1509
3,0.149100006,0.1849
4,0.148900002,0.1812
5,0.158000007,0.1296
6,0.131200001,0.1494
7,0.109700002,0.1283
8,0.116099998,0.1418
9,0.124300003,0.1361
10,0.112199999,0.1274
11,0.154499993,0.1344
12,0.156800002,0.1425
13,0.166700006,0.1434
14,0.177100003,0.1533
15,0.189999998,0.1567
16,0.198300004,0.1598
17,0.195500001,0.1593
18,0.206900001,0.1645
19,0.211099997,0.1728
20,0.217600003,0.1743
21,0.218500003,0.1685
22,0.219500005,0.1738
23,0.218199998,0.175
24,0.221300006,0.1717
25,0.218999997,0.1726
26,0.218500003,0.1753
27,0.219500005,0.1777
28,0.221100003,0.1758
29,0.216800004,0.1785
30,0.220899999,0.183
31,0.218700007,0.1814
32,0.221900001,0.1787
33,0.219600007,0.1781
34,0.218600005,0.177
35,0.217299998,0.1768
36,0.218400002,0.1826
37,0.220300004,0.178
38,0.221200004,0.1768
39,0.219400004,0.1781
40,0.221399993,0.1815
