Step,convex,mask
1,0.128399998,0.1008
2,0.183899999,0.0929
3,0.184499994,0.183
4,0.121100001,0.1985
5,0.121600002,0.1777
6,0.165399998,0.1199
7,0.122500002,0.1299
8,0.118199997,0.1389
9,0.164199993,0.1418
10,0.151099995,0.1118
11,0.157700002,0.1499
12,0.173099995,0.1601
13,0.178200006,0.1703
14,0.183699995,0.1785
15,0.188600004,0.1912
16,0.189600006,0.1855
17,0.192499995,0.1944
18,0.191100001,0.1937
19,0.192399994,0.1949
20,0.187099993,0.1916
21,0.187900007,0.1973
22,0.189799994,0.1997
23,0.188500002,0.1992
24,0.188199997,0.1957
25,0.187000006,0.1983
26,0.187600002,0.1996
27,0.186499998,0.2007
28,0.187900007,0.2007
29,0.194000006,0.2035
30,0.185200006,0.2033
31,0.187299997,0.2011
32,0.186199993,0.2002
33,0.1884,0.201
34,0.184699997,0.2045
35,0.188299999,0.2039
36,0.188199997,0.2009
37,0.185299993,0.2035
38,0.186100006,0.2045
39,0.187999994,0.2022
40,0.187099993,0.1998
