Step,convex,mask
1,0.776199996,0.7791
2,0.795700014,0.7919
3,0.80250001,0.7671
4,0.811600029,0.787
5,0.800899982,0.8119
6,0.83099997,0.826
7,0.81279999,0.829
8,0.832099974,0.8379
9,0.828499973,0.8239
10,0.827700019,0.8148
11,0.86680001,0.8725
12,0.869300008,0.8735
13,0.870299995,0.876
14,0.871800005,0.8723
15,0.868200004,0.8733
16,0.866100013,0.8711
17,0.865100026,0.8696
18,0.8653,0.8677
19,0.861299992,0.8696
20,0.864400029,0.8667
21,0.866900027,0.8715
22,0.867200017,0.8714
23,0.867299974,0.8687
24,0.867900014,0.8699
25,0.8671,0.8707
26,0.867600024,0.8693
27,0.86680001,0.8701
28,0.86650002,0.8686
29,0.865700006,0.8704
30,0.867999971,0.87
31,0.868499994,0.869
32,0.868600011,0.8687
33,0.867600024,0.8688
34,0.868300021,0.8697
35,0.866900027,0.8697
36,0.868099988,0.8687
37,0.8671,0.8701
38,0.867600024,0.8715
39,0.868600011,0.8685
40,0.867600024,0.8696
