Step,convex,mask
1,0.789900005,0.7947
2,0.785399973,0.779
3,0.810199976,0.7902
4,0.790899992,0.7576
5,0.818700016,0.7774
6,0.827799976,0.8111
7,0.806100011,0.8301
8,0.833899975,0.8341
9,0.819700003,0.8077
10,0.838500023,0.8347
11,0.870299995,0.8721
12,0.870899975,0.8758
13,0.869199991,0.8754
14,0.870999992,0.8746
15,0.866999984,0.8721
16,0.865199983,0.8735
17,0.866400003,0.8715
18,0.868300021,0.8701
19,0.865999997,0.8668
20,0.866699994,0.8637
21,0.868600011,0.8683
22,0.868200004,0.8683
23,0.867799997,0.8698
24,0.868099988,0.8686
25,0.868600011,0.8692
26,0.867699981,0.8684
27,0.867699981,0.8692
28,0.867399991,0.8693
29,0.868499994,0.868
30,0.867600024,0.8691
31,0.867699981,0.8696
32,0.8671,0.869
33,0.867699981,0.8692
34,0.867799997,0.8697
35,0.867900014,0.8698
36,0.866999984,0.8699
37,0.867200017,0.8703
38,0.868200004,0.8699
39,0.867999971,0.8698
40,0.868099988,0.869
