Step,convex,mask
1,0.820599973,0.795
2,0.805400014,0.8081
3,0.837000012,0.7848
4,0.848699987,0.7997
5,0.8204,0.8498
6,0.845399976,0.8482
7,0.850099981,0.8366
8,0.850700021,0.8503
9,0.850399971,0.8359
10,0.846000016,0.8249
11,0.879700005,0.8761
12,0.880699992,0.8781
13,0.880800009,0.8771
14,0.879700005,0.8785
15,0.879599988,0.8789
16,0.880800009,0.8775
17,0.878700018,0.8785
18,0.879100025,0.8793
19,0.878300011,0.8788
20,0.877200007,0.8774
21,0.878099978,0.8784
22,0.877399981,0.8785
23,0.878099978,0.8788
24,0.879199982,0.8778
25,0.879199982,0.878
26,0.878899992,0.8794
27,0.878400028,0.879
28,0.878300011,0.8795
29,0.878499985,0.8791
30,0.879299998,0.8786
31,0.879199982,0.8783
32,0.879299998,0.8789
33,0.880100012,0.8784
34,0.879599988,0.8777
35,0.878199995,0.8784
36,0.879999995,0.8788
37,0.879000008,0.8783
38,0.879299998,0.8783
39,0.879700005,0.8786
40,0.880100012,0.8786
