Step,convex,mask
1,0.796800017,0.7947
2,0.795099974,0.779
3,0.80400002,0.7902
4,0.813300014,0.7576
5,0.795000017,0.7774
6,0.817399979,0.8111
7,0.832099974,0.8301
8,0.819899976,0.8341
9,0.838,0.8077
10,0.833599985,0.8347
11,0.873300016,0.8721
12,0.872600019,0.8758
13,0.871800005,0.8754
14,0.871200025,0.8746
15,0.870000005,0.8721
16,0.869000018,0.8735
17,0.865800023,0.8715
18,0.866599977,0.8701
19,0.869099975,0.8668
20,0.864300013,0.8637
21,0.869000018,0.8683
22,0.869700015,0.8683
23,0.869499981,0.8698
24,0.870000005,0.8686
25,0.869400024,0.8692
26,0.870800018,0.8684
27,0.870400012,0.8692
28,0.869400024,0.8693
29,0.869499981,0.868
30,0.868600011,0.8691
31,0.869700015,0.8696
32,0.869899988,0.869
33,0.870299995,0.8692
34,0.870599985,0.8697
35,0.869700015,0.8698
36,0.870700002,0.8699
37,0.870500028,0.8703
38,0.869599998,0.8699
39,0.870800018,0.8698
40,0.870599985,0.869
