Step,convex,mask
1,0.1565 ,0.1592 
2,0.1627 ,0.1459 
3,0.1564 ,0.1681 
4,0.1764 ,0.1424 
5,0.1710 ,0.1558 
6,0.1658 ,0.1685 
7,0.1431 ,0.1364 
8,0.1619 ,0.1450 
9,0.1302 ,0.1481 
10,0.1739 ,0.1263 
11,0.1782 ,0.1334 
12,0.1865 ,0.1348 
13,0.1890 ,0.1356 
14,0.1898 ,0.1400 
15,0.1984 ,0.1395 
16,0.1941 ,0.1525 
17,0.2158 ,0.1720 
18,0.2026 ,0.1767 
19,0.2128 ,0.1646 
20,0.2215 ,0.1668 
21,0.2189 ,0.1829 
22,0.2204 ,0.1846 
23,0.2194 ,0.1814 
24,0.2214 ,0.1888 
25,0.2270 ,0.1924 
26,0.2289 ,0.1883 
27,0.2254 ,0.1909 
28,0.2257 ,0.1895 
29,0.2278 ,0.1992 
30,0.2265 ,0.1977 
31,0.2322 ,0.2001 
32,0.2343 ,0.1992 
33,0.2307 ,0.1999 
34,0.2315 ,0.1996 
35,0.2279 ,0.1991 
36,0.2325 ,0.1990 
37,0.2330 ,0.1994 
38,0.2324 ,0.2011 
39,0.2312 ,0.1933 
40,0.2356 ,0.1978 
