Step,convex,mask
1,0.1655,0.1627
2,0.183599994,0.1317
3,0.188500002,0.128
4,0.161500007,0.1408
5,0.161200002,0.1661
6,0.196799994,0.1568
7,0.169599995,0.1258
8,0.183400005,0.132
9,0.199000001,0.1227
10,0.191699997,0.1152
11,0.220400006,0.1471
12,0.214300007,0.1374
13,0.220799997,0.1444
14,0.225500003,0.1486
15,0.228599995,0.1579
16,0.225899994,0.1831
17,0.241400003,0.1937
18,0.257299989,0.1855
19,0.255899996,0.1873
20,0.243300006,0.2019
21,0.25150001,0.2042
22,0.253899992,0.2059
23,0.25850001,0.2076
24,0.258599997,0.212
25,0.259799987,0.2101
26,0.265500009,0.21
27,0.264400005,0.2128
28,0.271200001,0.212
29,0.269899994,0.2094
30,0.271200001,0.2164
31,0.270399988,0.2166
32,0.271899998,0.211
33,0.272199988,0.213
34,0.270200014,0.2132
35,0.277200013,0.2154
36,0.273200005,0.2128
37,0.273099989,0.2156
38,0.272300005,0.2165
39,0.272300005,0.214
40,0.272500008,0.2138
