Step,convex,mask
1,0.8379 ,0.7950 
2,0.8251 ,0.8081 
3,0.8408 ,0.7848 
4,0.8249 ,0.7997 
5,0.8123 ,0.8498 
6,0.8254 ,0.8482 
7,0.8176 ,0.8366 
8,0.8428 ,0.8503 
9,0.8225 ,0.8359 
10,0.8517 ,0.8249 
11,0.8757 ,0.8761 
12,0.8752 ,0.8781 
13,0.8759 ,0.8771 
14,0.8754 ,0.8785 
15,0.8763 ,0.8789 
16,0.8767 ,0.8775 
17,0.8762 ,0.8785 
18,0.8757 ,0.8793 
19,0.8771 ,0.8788 
20,0.8760 ,0.8774 
21,0.8763 ,0.8784 
22,0.8753 ,0.8785 
23,0.8760 ,0.8788 
24,0.8744 ,0.8778 
25,0.8759 ,0.8780 
26,0.8761 ,0.8794 
27,0.8755 ,0.8790 
28,0.8769 ,0.8795 
29,0.8775 ,0.8791 
30,0.8774 ,0.8786 
31,0.8766 ,0.8783 
32,0.8771 ,0.8789 
33,0.8769 ,0.8784 
34,0.8775 ,0.8777 
35,0.8779 ,0.8784 
36,0.8770 ,0.8788 
37,0.8779 ,0.8783 
38,0.8773 ,0.8783 
39,0.8766 ,0.8786 
40,0.8763 ,0.8786 
