Step,convex,mask
1,0.1184 ,0.1023 
2,0.1412 ,0.1509 
3,0.1491 ,0.1849 
4,0.1489 ,0.1812 
5,0.1580 ,0.1296 
6,0.1312 ,0.1494 
7,0.1097 ,0.1283 
8,0.1161 ,0.1418 
9,0.1243 ,0.1361 
10,0.1122 ,0.1274 
11,0.1545 ,0.1344 
12,0.1568 ,0.1425 
13,0.1667 ,0.1434 
14,0.1771 ,0.1533 
15,0.1900 ,0.1567 
16,0.1983 ,0.1598 
17,0.1955 ,0.1593 
18,0.2069 ,0.1645 
19,0.2111 ,0.1728 
20,0.2176 ,0.1743 
21,0.2185 ,0.1685 
22,0.2195 ,0.1738 
23,0.2182 ,0.1750 
24,0.2213 ,0.1717 
25,0.2190 ,0.1726 
26,0.2185 ,0.1753 
27,0.2195 ,0.1777 
28,0.2211 ,0.1758 
29,0.2168 ,0.1785 
30,0.2209 ,0.1830 
31,0.2187 ,0.1814 
32,0.2219 ,0.1787 
33,0.2196 ,0.1781 
34,0.2186 ,0.1770 
35,0.2173 ,0.1768 
36,0.2184 ,0.1826 
37,0.2203 ,0.1780 
38,0.2212 ,0.1768 
39,0.2194 ,0.1781 
40,0.2214 ,0.1815 
