Step,convex,mask
1,0.1359 ,0.1008 
2,0.1083 ,0.0929 
3,0.1470 ,0.1830 
4,0.1239 ,0.1985 
5,0.1011 ,0.1777 
6,0.1220 ,0.1199 
7,0.1501 ,0.1299 
8,0.1345 ,0.1389 
9,0.1429 ,0.1418 
10,0.1510 ,0.1118 
11,0.1527 ,0.1499 
12,0.1612 ,0.1601 
13,0.1633 ,0.1703 
14,0.1710 ,0.1785 
15,0.1717 ,0.1912 
16,0.1710 ,0.1855 
17,0.1767 ,0.1944 
18,0.1814 ,0.1937 
19,0.1736 ,0.1949 
20,0.1742 ,0.1916 
21,0.1767 ,0.1973 
22,0.1758 ,0.1997 
23,0.1760 ,0.1992 
24,0.1756 ,0.1957 
25,0.1755 ,0.1983 
26,0.1792 ,0.1996 
27,0.1780 ,0.2007 
28,0.1736 ,0.2007 
29,0.1703 ,0.2035 
30,0.1705 ,0.2033 
31,0.1718 ,0.2011 
32,0.1681 ,0.2002 
33,0.1728 ,0.2010 
34,0.1699 ,0.2045 
35,0.1703 ,0.2039 
36,0.1711 ,0.2009 
37,0.1703 ,0.2035 
38,0.1709 ,0.2045 
39,0.1737 ,0.2022 
40,0.1760 ,0.1998 
