Step,convex,mask
1,0.7483 ,0.7947 
2,0.7929 ,0.7790 
3,0.8203 ,0.7902 
4,0.8152 ,0.7576 
5,0.8014 ,0.7774 
6,0.8158 ,0.8111 
7,0.8128 ,0.8301 
8,0.8147 ,0.8341 
9,0.8184 ,0.8077 
10,0.8374 ,0.8347 
11,0.8697 ,0.8721 
12,0.8715 ,0.8758 
13,0.8675 ,0.8754 
14,0.8660 ,0.8746 
15,0.8678 ,0.8721 
16,0.8668 ,0.8735 
17,0.8637 ,0.8715 
18,0.8645 ,0.8701 
19,0.8590 ,0.8668 
20,0.8635 ,0.8637 
21,0.8669 ,0.8683 
22,0.8660 ,0.8683 
23,0.8677 ,0.8698 
24,0.8673 ,0.8686 
25,0.8680 ,0.8692 
26,0.8681 ,0.8684 
27,0.8679 ,0.8692 
28,0.8685 ,0.8693 
29,0.8683 ,0.8680 
30,0.8692 ,0.8691 
31,0.8684 ,0.8696 
32,0.8686 ,0.8690 
33,0.8676 ,0.8692 
34,0.8683 ,0.8697 
35,0.8681 ,0.8698 
36,0.8680 ,0.8699 
37,0.8680 ,0.8703 
38,0.8685 ,0.8699 
39,0.8677 ,0.8698 
40,0.8690 ,0.8690 
