Step,dual,ternary
1,0.1023 ,0.1008 
2,0.1509 ,0.0929 
3,0.1849 ,0.1830 
4,0.1812 ,0.1985 
5,0.1296 ,0.1777 
6,0.1494 ,0.1199 
7,0.1283 ,0.1299 
8,0.1418 ,0.1389 
9,0.1361 ,0.1418 
10,0.1274 ,0.1118 
11,0.1344 ,0.1499 
12,0.1425 ,0.1601 
13,0.1434 ,0.1703 
14,0.1533 ,0.1785 
15,0.1567 ,0.1912 
16,0.1598 ,0.1855 
17,0.1593 ,0.1944 
18,0.1645 ,0.1937 
19,0.1728 ,0.1949 
20,0.1743 ,0.1916 
21,0.1685 ,0.1973 
22,0.1738 ,0.1997 
23,0.1750 ,0.1992 
24,0.1717 ,0.1957 
25,0.1726 ,0.1983 
26,0.1753 ,0.1996 
27,0.1777 ,0.2007 
28,0.1758 ,0.2007 
29,0.1785 ,0.2035 
30,0.1830 ,0.2033 
31,0.1814 ,0.2011 
32,0.1787 ,0.2002 
33,0.1781 ,0.2010 
34,0.1770 ,0.2045 
35,0.1768 ,0.2039 
36,0.1826 ,0.2009 
37,0.1780 ,0.2035 
38,0.1768 ,0.2045 
39,0.1781 ,0.2022 
40,0.1815 ,0.1998 
