Step,dual,ternary
1,0.7891,0.796800017
2,0.7709,0.795099974
3,0.8085,0.80400002
4,0.7838,0.813300014
5,0.8128,0.795000017
6,0.798,0.817399979
7,0.8176,0.832099974
8,0.8049,0.819899976
9,0.8163,0.838
10,0.819,0.833599985
11,0.8662,0.873300016
12,0.8648,0.872600019
13,0.8635,0.871800005
14,0.8608,0.871200025
15,0.8609,0.870000005
16,0.8616,0.869000018
17,0.8621,0.865800023
18,0.8594,0.866599977
19,0.8607,0.869099975
20,0.8614,0.864300013
21,0.8616,0.869000018
22,0.8629,0.869700015
23,0.8624,0.869499981
24,0.863,0.870000005
25,0.8632,0.869400024
26,0.8625,0.870800018
27,0.8617,0.870400012
28,0.8621,0.869400024
29,0.862,0.869499981
30,0.8618,0.868600011
31,0.8612,0.869700015
32,0.8616,0.869899988
33,0.8617,0.870299995
34,0.8623,0.870599985
35,0.8619,0.869700015
36,0.8623,0.870700002
37,0.8611,0.870500028
38,0.8608,0.869599998
39,0.861,0.870800018
40,0.8615,0.870599985
