Step,dual,Value
1,0.7950 ,0.8128 
2,0.8081 ,0.8266 
3,0.7848 ,0.8141 
4,0.7997 ,0.8287 
5,0.8498 ,0.8317 
6,0.8482 ,0.8391 
7,0.8366 ,0.8326 
8,0.8503 ,0.8504 
9,0.8359 ,0.8544 
10,0.8249 ,0.8259 
11,0.8761 ,0.8769 
12,0.8781 ,0.8795 
13,0.8771 ,0.8798 
14,0.8785 ,0.8794 
15,0.8789 ,0.8786 
16,0.8775 ,0.8780 
17,0.8785 ,0.8776 
18,0.8793 ,0.8766 
19,0.8788 ,0.8783 
20,0.8774 ,0.8761 
21,0.8784 ,0.8784 
22,0.8785 ,0.8794 
23,0.8788 ,0.8793 
24,0.8778 ,0.8783 
25,0.8780 ,0.8789 
26,0.8794 ,0.8791 
27,0.8790 ,0.8805 
28,0.8795 ,0.8788 
29,0.8791 ,0.8794 
30,0.8786 ,0.8793 
31,0.8783 ,0.8789 
32,0.8789 ,0.8786 
33,0.8784 ,0.8802 
34,0.8777 ,0.8795 
35,0.8784 ,0.8790 
36,0.8788 ,0.8785 
37,0.8783 ,0.8791 
38,0.8783 ,0.8796 
39,0.8786 ,0.8792 
40,0.8786 ,0.8791 
