Step,dual,ternary
1,0.1184,0.128399998
2,0.141200006,0.183899999
3,0.149100006,0.184499994
4,0.148900002,0.121100001
5,0.158000007,0.121600002
6,0.131200001,0.165399998
7,0.109700002,0.122500002
8,0.116099998,0.118199997
9,0.124300003,0.164199993
10,0.112199999,0.151099995
11,0.154499993,0.157700002
12,0.156800002,0.173099995
13,0.166700006,0.178200006
14,0.177100003,0.183699995
15,0.189999998,0.188600004
16,0.198300004,0.189600006
17,0.195500001,0.192499995
18,0.206900001,0.191100001
19,0.211099997,0.192399994
20,0.217600003,0.187099993
21,0.218500003,0.187900007
22,0.219500005,0.189799994
23,0.218199998,0.188500002
24,0.221300006,0.188199997
25,0.218999997,0.187000006
26,0.218500003,0.187600002
27,0.219500005,0.186499998
28,0.221100003,0.187900007
29,0.216800004,0.194000006
30,0.220899999,0.185200006
31,0.218700007,0.187299997
32,0.221900001,0.186199993
33,0.219600007,0.1884
34,0.218600005,0.184699997
35,0.217299998,0.188299999
36,0.218400002,0.188199997
37,0.220300004,0.185299993
38,0.221200004,0.186100006
39,0.219400004,0.187999994
40,0.221399993,0.187099993
