Step,dual,ternary
1,0.8379 ,0.8377 
2,0.8251 ,0.7959 
3,0.8408 ,0.8359 
4,0.8249 ,0.8198 
5,0.8123 ,0.8155 
6,0.8254 ,0.8173 
7,0.8176 ,0.8342 
8,0.8428 ,0.8473 
9,0.8225 ,0.8457 
10,0.8517 ,0.8398 
11,0.8757 ,0.8794 
12,0.8752 ,0.8788 
13,0.8759 ,0.8805 
14,0.8754 ,0.8796 
15,0.8763 ,0.8812 
16,0.8767 ,0.8805 
17,0.8762 ,0.8791 
18,0.8757 ,0.8765 
19,0.8771 ,0.8766 
20,0.8760 ,0.8781 
21,0.8763 ,0.8778 
22,0.8753 ,0.8783 
23,0.8760 ,0.8781 
24,0.8744 ,0.8783 
25,0.8759 ,0.8785 
26,0.8761 ,0.8776 
27,0.8755 ,0.8768 
28,0.8769 ,0.8779 
29,0.8775 ,0.8785 
30,0.8774 ,0.8786 
31,0.8766 ,0.8790 
32,0.8771 ,0.8787 
33,0.8769 ,0.8786 
34,0.8775 ,0.8783 
35,0.8779 ,0.8783 
36,0.8770 ,0.8783 
37,0.8779 ,0.8783 
38,0.8773 ,0.8779 
39,0.8766 ,0.8779 
40,0.8763 ,0.8770 
