Step,dual,ternary
1,0.1611,0.1655
2,0.1831,0.183599994
3,0.169599995,0.188500002
4,0.181199998,0.161500007
5,0.159500003,0.161200002
6,0.167500004,0.196799994
7,0.185699999,0.169599995
8,0.170699999,0.183400005
9,0.186499998,0.199000001
10,0.169599995,0.191699997
11,0.218799993,0.220400006
12,0.221399993,0.214300007
13,0.215800002,0.220799997
14,0.221699998,0.225500003
15,0.220899999,0.228599995
16,0.231600001,0.225899994
17,0.228699997,0.241400003
18,0.233500004,0.257299989
19,0.242400005,0.255899996
20,0.248600006,0.243300006
21,0.25,0.25150001
22,0.250999987,0.253899992
23,0.257200003,0.25850001
24,0.25909999,0.258599997
25,0.261500001,0.259799987
26,0.262699991,0.265500009
27,0.265899986,0.264400005
28,0.2676,0.271200001
29,0.266400009,0.269899994
30,0.272300005,0.271200001
31,0.273400009,0.270399988
32,0.270700008,0.271899998
33,0.273099989,0.272199988
34,0.271200001,0.270200014
35,0.274100006,0.277200013
36,0.274199992,0.273200005
37,0.274599999,0.273099989
38,0.276499987,0.272300005
39,0.275599986,0.272300005
40,0.274100006,0.272500008
