Step,dual,ternary
1,0.1465 ,0.1359 
2,0.1287 ,0.1083 
3,0.1260 ,0.1470 
4,0.1054 ,0.1239 
5,0.0922 ,0.1011 
6,0.1177 ,0.1220 
7,0.1342 ,0.1501 
8,0.1139 ,0.1345 
9,0.1145 ,0.1429 
10,0.1193 ,0.1510 
11,0.1360 ,0.1527 
12,0.1512 ,0.1612 
13,0.1591 ,0.1633 
14,0.1734 ,0.1710 
15,0.1813 ,0.1717 
16,0.1839 ,0.1710 
17,0.1938 ,0.1767 
18,0.1913 ,0.1814 
19,0.1868 ,0.1736 
20,0.1938 ,0.1742 
21,0.1914 ,0.1767 
22,0.1938 ,0.1758 
23,0.1911 ,0.1760 
24,0.1940 ,0.1756 
25,0.1940 ,0.1755 
26,0.1949 ,0.1792 
27,0.1969 ,0.1780 
28,0.1974 ,0.1736 
29,0.1980 ,0.1703 
30,0.1975 ,0.1705 
31,0.1947 ,0.1718 
32,0.1964 ,0.1681 
33,0.1974 ,0.1728 
34,0.1960 ,0.1699 
35,0.1941 ,0.1703 
36,0.1963 ,0.1711 
37,0.1958 ,0.1703 
38,0.1975 ,0.1709 
39,0.1982 ,0.1737 
40,0.1976 ,0.1760 
