Step,dual,ternary
1,0.7891 ,0.7483 
2,0.7709 ,0.7929 
3,0.8085 ,0.8203 
4,0.7838 ,0.8152 
5,0.8128 ,0.8014 
6,0.7980 ,0.8158 
7,0.8176 ,0.8128 
8,0.8049 ,0.8147 
9,0.8163 ,0.8184 
10,0.8190 ,0.8374 
11,0.8662 ,0.8697 
12,0.8648 ,0.8715 
13,0.8635 ,0.8675 
14,0.8608 ,0.8660 
15,0.8609 ,0.8678 
16,0.8616 ,0.8668 
17,0.8621 ,0.8637 
18,0.8594 ,0.8645 
19,0.8607 ,0.8590 
20,0.8614 ,0.8635 
21,0.8616 ,0.8669 
22,0.8629 ,0.8660 
23,0.8624 ,0.8677 
24,0.8630 ,0.8673 
25,0.8632 ,0.8680 
26,0.8625 ,0.8681 
27,0.8617 ,0.8679 
28,0.8621 ,0.8685 
29,0.8620 ,0.8683 
30,0.8618 ,0.8692 
31,0.8612 ,0.8684 
32,0.8616 ,0.8686 
33,0.8617 ,0.8676 
34,0.8623 ,0.8683 
35,0.8619 ,0.8681 
36,0.8623 ,0.8680 
37,0.8611 ,0.8680 
38,0.8608 ,0.8685 
39,0.8610 ,0.8677 
40,0.8615 ,0.8690 
