Step,dual,ternary,
1,0.1565 ,0.1638 ,
2,0.1627 ,0.1835 ,
3,0.1564 ,0.1822 ,
4,0.1764 ,0.1750 ,
5,0.1710 ,0.1311 ,
6,0.1658 ,0.2011 ,
7,0.1431 ,0.1627 ,
8,0.1619 ,0.1805 ,
9,0.1302 ,0.1720 ,
10,0.1739 ,0.1736 ,
11,0.1782 ,0.1790 ,
12,0.1865 ,0.1898 ,
13,0.1890 ,0.1927 ,
14,0.1898 ,0.2004 ,
15,0.1984 ,0.2053 ,
16,0.1941 ,0.2045 ,
17,0.2158 ,0.2174 ,
18,0.2026 ,0.2313 ,
19,0.2128 ,0.2213 ,
20,0.2215 ,0.2142 ,
21,0.2189 ,0.2202 ,
22,0.2204 ,0.2246 ,
23,0.2194 ,0.2231 ,
24,0.2214 ,0.2256 ,
25,0.2270 ,0.2306 ,
26,0.2289 ,0.2302 ,
27,0.2254 ,0.2321 ,
28,0.2257 ,0.2318 ,
29,0.2278 ,0.2296 ,
30,0.2265 ,0.2348 ,
31,0.2322 ,0.2323 ,
32,0.2343 ,0.2360 ,
33,0.2307 ,0.2337 ,
34,0.2315 ,0.2326 ,
35,0.2279 ,0.2336 ,
36,0.2325 ,0.2348 ,
37,0.2330 ,0.2372 ,
38,0.2324 ,0.2368 ,
39,0.2312 ,0.2345 ,
40,0.2356 ,0.2304 ,
